X,Y,Population2030,Gridconnected-2012,Split,SA,MG,MINIMUMCOST,MINIMUMDISTANCE,DistancefromtheHVgrid(meters),Gridextensionsforthosegainingaccess,Urban/RuralSplit,Gainingaccesssettlements,Urbangainingaccesspopulation,Ruralgainingaccesspopulation,,,Urbangainingaccessinkm,Urbanpopulationgainingaccess,Urbangainingaccesssettlements,,GridUrbanPopulation,GridUrbanSettlements,MicroGridUrbanPopulation,MicroGridUrbanSettlements,,,,,,Split300,SA300,MG300,MINIMUMCOST300,MINIMUMDISTANCE300,,Split50,SA50,MG50,MINIMUMCOST50,MINIMUMDISTANCE50,,,GridUrbanPopulation,126761278,inhabitants
38.061111,13.448056,6814,0,MicroGrid,,Diesel,0.310955711,15000,52768.7813,0,Urban,0,0,0,,,35295,70749965,4938,,0,0,6814,1,,GRID,7738,78.81%,,MicroGrid,,Diesel,0.310955711,15000,,StandAlone,Diesel,,0.344175536,0.4622,,,GridUrbanSettlements,7589,settlements
39.066667,14.166667,15626,0,Grid,,,0.177886854,5000,18422.95517,5000,Urban,1,15626,0,,,,,,,15626,1,0,0,,MICROGRID,500,5.09%,,Grid,,,0.177886854,5000,,Grid,,,0.204473942,0.204473942,,,,,
38.5,14.216667,12880,0,Grid,,,0.179839998,5000,11820.8437,5000,Urban,1,12880,0,,,Ruralgainingaccessinkm,Ruralpopulationgainingaccess,Ruralgainingaccesssettlements,,12880,1,0,0,,STANDALONE,1581,16.10%,,Grid,,,0.179839998,5000,,Grid,,,0.208343806,0.208343806,,,Plannedgridexpansion,4590.45,(distanceinkm)
39.166667,14.416667,14280,0,Grid,,,0.178735737,5000,35754.30541,5000,Urban,1,14280,0,,,0.3183896,487895,565,,14280,1,0,0,,,,,,Grid,,,0.178735737,5000,,Grid,,,0.206172215,0.206172215,,,Gridextensionsforthosegainingaccess,35295.31839,(distanceinkm)
39.733333,14.416667,4122,0,Grid,,,0.203583685,10000,32424.53246,10000,Urban,1,4122,0,,,,,,,4122,1,0,0,,TOTAL,9819,100.00%,,Grid,,,0.203583685,10000,,StandAlone,PV,,0.253931421,0.447,,,Minigridsdistribution,500,settlements
36.609167,14.292222,651,1,Grid,,,0,0,3196.785836,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,Minigridsdistribution,"3,729,647",inhabitants
39.4,11.266667,18412,0,Grid,,,0.176887465,7500,24487.02282,7500,Urban,1,18412,0,,,,,,,18412,1,0,0,,AREAGRID,437353,,,Grid,,,0.176887465,7500,,Grid,,,0.202557801,0.202557801,,,Microgrid_Urban,500,settlements
39.35,11.983333,15667,1,Grid,,,0,2500,6221.789014,0,Urban,0,0,0,,,,,,,15667,1,0,0,,AREAOFFGRID,666947,0.603954541,,Grid,,,0,2500,,Grid,,,0,0,,,Microgrid_Urban,3729647,inhabitants
39.95,11.333333,15035,0,Grid,,,0.178162053,5000,15101.24118,5000,Urban,1,15035,0,,,,,,,15035,1,0,0,,,,,,Grid,,,0.178162053,5000,,Grid,,,0.205834025,0.205834025,,,,,
39.4,8.766667,10005,1,Grid,,,0,2500,8248.172523,0,Urban,0,0,0,,,,,,,10005,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,Minigridspowergenerationcapacity,(overnightcapitalcosts),(capacityingigawatts)
39.183333,11.05,15418,0,Grid,,,0.178867467,7500,20970.34072,7500,Urban,1,15418,0,,,,,,,15418,1,0,0,,STANDALONE,,,,Grid,,,0.178867467,7500,,Grid,,,0.206209895,0.206209895,,,Minigridspowergeneration,N/A,(interawatthours)
